context,fact,annotators,response,model,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall
"hi i love cooking and fishing ! and reading comic books
oh , i just like gardening .
if i am not in the kitchen , i am on my boat in the water
that is cool , i got a job just now in a gas station
cool , i got a spiderman comic at a gas station
","your persona: i enjoy working with my hands and love gardening.
your persona: i just got a job working in a gas station.
your persona: i was adopted at a young age to an older couple.
your persona: i am terrified of clowns due to childhood trauma.
your persona: my father keeps trying to set me up on blind dates.
","['shikib', 'mckenna', 'yulan']","i had a spiderman comic as a kid . my adopted parents gave it to me .
",Original Ground Truth,1,3,3,3,1,5
"hi i love cooking and fishing ! and reading comic books
oh , i just like gardening .
if i am not in the kitchen , i am on my boat in the water
that is cool , i got a job just now in a gas station
cool , i got a spiderman comic at a gas station
","your persona: i enjoy working with my hands and love gardening.
your persona: i just got a job working in a gas station.
your persona: i was adopted at a young age to an older couple.
your persona: i am terrified of clowns due to childhood trauma.
your persona: my father keeps trying to set me up on blind dates.
","['shikib', 'mckenna', 'yulan']","that's cool . my dad keeps trying to set me up on blind dates . it's getting annoying !
",New Human Generated,1,3,2,3,1,5
"hello do you enjoy sports ?
yes . baseball , tennis and the olympics are my favorite sports . how about you ?
i really enjoy golf and combat fighting , what occupation do you currently have ?
i'm an author , blogger and freelancer . what is your occupation ?
i am a it i've been working there for a very long time !
do you have an information technology degree ?
yes did you attend college at all ?
i earned an undergraduate degree in communications but have not found related work .
where are you currently located ? i live in florida .
i live in st . louis , missouri . are there any interesting landmarks near you ?
not really but i do enjoy to travel ! have you ever traveled anywhere ?
i have traveled to cleveland , cincinnati , miami , niagara falls and the bahamas .
are you a male or female ? i am a 20 year old male
","your persona: my boyfriend and i are moving into an apartment together next week.
your persona: i'm interested in photography and like taking pictures.
your persona: i am an elementary school teacher.
your persona: i am fluent in english spanish and french.
","['shikib', 'mckenna', 'yulan']","i am a 44 year old male .
",Original Ground Truth,1,3,3,2,0,3
"hello do you enjoy sports ?
yes . baseball , tennis and the olympics are my favorite sports . how about you ?
i really enjoy golf and combat fighting , what occupation do you currently have ?
i'm an author , blogger and freelancer . what is your occupation ?
i am a it i've been working there for a very long time !
do you have an information technology degree ?
yes did you attend college at all ?
i earned an undergraduate degree in communications but have not found related work .
where are you currently located ? i live in florida .
i live in st . louis , missouri . are there any interesting landmarks near you ?
not really but i do enjoy to travel ! have you ever traveled anywhere ?
i have traveled to cleveland , cincinnati , miami , niagara falls and the bahamas .
are you a male or female ? i am a 20 year old male
","your persona: my boyfriend and i are moving into an apartment together next week.
your persona: i'm interested in photography and like taking pictures.
your persona: i am an elementary school teacher.
your persona: i am fluent in english spanish and french.
","['shikib', 'mckenna', 'yulan']","i'm female . i love photography and i'm always taking pictures .
",New Human Generated,1,3,3,3,1,5
"hi there how are you ?
","your persona: my family has raised horses for a generations.
your persona: i want to be a lawyer.
your persona: i was raised on a horse farm.
your persona: i am from a small town.
","['shikib', 'mckenna', 'yulan']","good i am studying to be a lawyer right now
",Original Ground Truth,1,3,3,3,1,5
"hi there how are you ?
","your persona: my family has raised horses for a generations.
your persona: i want to be a lawyer.
your persona: i was raised on a horse farm.
your persona: i am from a small town.
","['shikib', 'mckenna', 'yulan']","i'm doing well . just spent some time with my horse !
",New Human Generated,1,3,3,3,1,5
"hi how are you doing today ?
i am doing good . how about you ?
i'm doing great ! ! what kind of things do you like doing ?
best thing is going to see the rolling stones every year !
i love the rolling stones . i love music especially while working out . it keeps me motivated
it is a cool bank . i eat clean . how about you ?
same with me i like to stay in shape
what do you do for work ?
i am a nurse work in a trauma center in the trauma icu and you
i am majoring in economics .
do you know where you will work after school ?
no idea . hopefully somewhere near the new house i bought .
i bough my house when i turned 19 best this i have done
wow . that is young . you must be rich .
no not rich just was smart with my money and bought fix upper
that is smart . what kind of work does your house need ?
mainly cosmetics stuff . we had to tear out all carpet and re drywall every room
","your persona: i just bought a house recently.
your persona: i'm married with two kids.
your persona: i see the rolling stones in concert every year.
your persona: i'm an economics major.
your persona: i eat a raw diet.
","['shikib', 'mckenna', 'yulan']","that sounds like a lot of work !
",Original Ground Truth,1,3,3,2,0,4
"hi how are you doing today ?
i am doing good . how about you ?
i'm doing great ! ! what kind of things do you like doing ?
best thing is going to see the rolling stones every year !
i love the rolling stones . i love music especially while working out . it keeps me motivated
it is a cool bank . i eat clean . how about you ?
same with me i like to stay in shape
what do you do for work ?
i am a nurse work in a trauma center in the trauma icu and you
i am majoring in economics .
do you know where you will work after school ?
no idea . hopefully somewhere near the new house i bought .
i bough my house when i turned 19 best this i have done
wow . that is young . you must be rich .
no not rich just was smart with my money and bought fix upper
that is smart . what kind of work does your house need ?
mainly cosmetics stuff . we had to tear out all carpet and re drywall every room
","your persona: i just bought a house recently.
your persona: i'm married with two kids.
your persona: i see the rolling stones in concert every year.
your persona: i'm an economics major.
your persona: i eat a raw diet.
","['shikib', 'mckenna', 'yulan']","that's not too bad . my house was expensive , but luckily it didn't need any work !
",New Human Generated,1,3,3,3,1,5
"hello ! i don't go anywhere for when i work !
my goal is to run a k !
wow ! that's very impressive to me
i want to become a physical therapist
that'sn't a bad idea ! make a lot of money
what is your dream job ?
my dream job is professional baseball . i currently play baseball at lsu
i think that sounds pretty cool
i am excited ! i am expected to be drafted this year !
that's cool ! i won homecoming queen
wow ! that's impressive ! i bet you are good looking !
yes i am quite beautiful
add me on snapchat ! i love the app
","your persona: my current goal is to run a k.
your persona: i make straight as in school.
your persona: i won homecoming queen this year.
your persona: i'm currently in high school.
your persona: when i grow up i want to be a physical therapist.
","['shikib', 'mckenna', 'yulan']","yeah that app is really cool !
",Original Ground Truth,1,3,3,2,0,4
"hello ! i don't go anywhere for when i work !
my goal is to run a k !
wow ! that's very impressive to me
i want to become a physical therapist
that'sn't a bad idea ! make a lot of money
what is your dream job ?
my dream job is professional baseball . i currently play baseball at lsu
i think that sounds pretty cool
i am excited ! i am expected to be drafted this year !
that's cool ! i won homecoming queen
wow ! that's impressive ! i bet you are good looking !
yes i am quite beautiful
add me on snapchat ! i love the app
","your persona: my current goal is to run a k.
your persona: i make straight as in school.
your persona: i won homecoming queen this year.
your persona: i'm currently in high school.
your persona: when i grow up i want to be a physical therapist.
","['shikib', 'mckenna', 'yulan']","maybe ! i'm also pretty smart , i make straight as in school .
",New Human Generated,1,3,2,3,1,5
"hi ! do you have a house in the clouds ?
no but i'd love to get one
i do . do you have any superpowers ?
nice ! when i wear my motorbike helmet i do feel like a super hero sometimes
can you make time stop while wearing your helmet ?
i wish i could but i cant . do you have a motorbike ?
no , i have a pink bike though .
","your persona: i wear a motorbike helmet to protect my head.
your persona: my main transportation is my motorbike.
your persona: i've light skin with big brown eyes.
your persona: its red with blue stripe so it shiny when i race.
","['shikib', 'mckenna', 'yulan']","why did you choose pink out of all colors ?
",Original Ground Truth,1,3,3,3,0,4
"hi ! do you have a house in the clouds ?
no but i'd love to get one
i do . do you have any superpowers ?
nice ! when i wear my motorbike helmet i do feel like a super hero sometimes
can you make time stop while wearing your helmet ?
i wish i could but i cant . do you have a motorbike ?
no , i have a pink bike though .
","your persona: i wear a motorbike helmet to protect my head.
your persona: my main transportation is my motorbike.
your persona: i've light skin with big brown eyes.
your persona: its red with blue stripe so it shiny when i race.
","['shikib', 'mckenna', 'yulan']","cool . my motorbike is red with a blue stripe . it looks shiny when i race !
",New Human Generated,1,3,3,3,1,5
"hello , how are you tonight ?
ok . since alabama , my home team , won saturday night .
i'm an ohio state fan . do you skate ?
no . too busy with all of my 19 dogs and 3 sisters .
oh wow . that is a lot of dogs .
yes love them almost as my tacos . no i love my dogs more .
my fiance makes a killer fish taco with cilantro lime slaw .
wow . my sisters and i love chicken tacos .
those are good too , i live in cali . along the ocean .
i live in middle of alabama . do not get to ocean much .
i could not stand to live inland , the ocean runs through my veins .
","your persona: i love dogs.
your persona: i live in alabama.
your persona: i have three sisters.
your persona: i like tacos.
","['shikib', 'mckenna', 'yulan']","yes . i want to go more but no one to stay with 19 dogs .
",Original Ground Truth,1,3,3,3,1,4
"hello , how are you tonight ?
ok . since alabama , my home team , won saturday night .
i'm an ohio state fan . do you skate ?
no . too busy with all of my 19 dogs and 3 sisters .
oh wow . that is a lot of dogs .
yes love them almost as my tacos . no i love my dogs more .
my fiance makes a killer fish taco with cilantro lime slaw .
wow . my sisters and i love chicken tacos .
those are good too , i live in cali . along the ocean .
i live in middle of alabama . do not get to ocean much .
i could not stand to live inland , the ocean runs through my veins .
","your persona: i love dogs.
your persona: i live in alabama.
your persona: i have three sisters.
your persona: i like tacos.
","['shikib', 'mckenna', 'yulan']","lucky you ! i love the ocean , can't wait to visit it again !
",New Human Generated,1,3,3,3,0,4
"hello , do you like music ? i play the miano and guitar ! also i sing !
that is nice i wish i played an instrument
i can teach you , i am a musician and a music teacher !
that's cool i do not like my job
i work as a custodian , helping to pay the bills . what is your job ?
i've a job in a nursing home
ah yeah my parents are not supporting my dream to become a musician
maybe if you build up a following you'll be able to do that full time
i really wish they would accept it , but they keep telling me to get a real job .
yeah its hard when you aren't making money
i hope i'll make it big one day then i'll show them they are wrong
that's a good goal do you have a family
yeah i got my mother and father and a boyfriend .
is your boyfriend supportive of your music
yes he's supportive ! do you have any dreams ?
","your persona: i work at a nursing home.
your persona: i am overweight and unhappy.
your persona: my wife left me and took my children.
your persona: i spend most of my time on facebook when i am not working.
your persona: i don't believe in god.
","['shikib', 'mckenna', 'yulan']","i really want to try and lose weight but i have no motivation
",Original Ground Truth,1,3,3,3,1,5
"hello , do you like music ? i play the miano and guitar ! also i sing !
that is nice i wish i played an instrument
i can teach you , i am a musician and a music teacher !
that's cool i do not like my job
i work as a custodian , helping to pay the bills . what is your job ?
i've a job in a nursing home
ah yeah my parents are not supporting my dream to become a musician
maybe if you build up a following you'll be able to do that full time
i really wish they would accept it , but they keep telling me to get a real job .
yeah its hard when you aren't making money
i hope i'll make it big one day then i'll show them they are wrong
that's a good goal do you have a family
yeah i got my mother and father and a boyfriend .
is your boyfriend supportive of your music
yes he's supportive ! do you have any dreams ?
","your persona: i work at a nursing home.
your persona: i am overweight and unhappy.
your persona: my wife left me and took my children.
your persona: i spend most of my time on facebook when i am not working.
your persona: i don't believe in god.
","['shikib', 'mckenna', 'yulan']","not really , i just spend most of my time on facebook when i am not working .
",New Human Generated,1,3,3,3,1,5
"hello how are you this fine day ?
i am good ! counting the days till i can move out . and you ?
i'm playing some role playing games online today . i love the internet , probably too much !
my job at burger king is taking away all of my video game time .
i work in fast food also .
my coworkers are always complaining i burn the burgers . you aren't my parents !
i tried to go to school to be a vet . i hated it !
do you drink or do drugs ?
i don't . do you dye your hair ? i do every 3 months .
ok good . but why dye your hair ? that is , like , drugs for your hair .
i love to dye it blue . red reminds me of blood and i faint from that !
blue ! ? blue ! ? i hate blue ! ree ! ! !
what color should i dye it ?
","your persona: they are constantly on my back.
your persona: i do not drink or do drugs or anything.
your persona: i am 19 and i cannot wait to move out 19 my parents home.
your persona: i work took i have a part time job at burger king.
","['shikib', 'mckenna', 'yulan']","black , like my soul . i am very depressed from working at burger king .
",Original Ground Truth,1,3,3,3,1,5
"hello how are you this fine day ?
i am good ! counting the days till i can move out . and you ?
i'm playing some role playing games online today . i love the internet , probably too much !
my job at burger king is taking away all of my video game time .
i work in fast food also .
my coworkers are always complaining i burn the burgers . you aren't my parents !
i tried to go to school to be a vet . i hated it !
do you drink or do drugs ?
i don't . do you dye your hair ? i do every 3 months .
ok good . but why dye your hair ? that is , like , drugs for your hair .
i love to dye it blue . red reminds me of blood and i faint from that !
blue ! ? blue ! ? i hate blue ! ree ! ! !
what color should i dye it ?
","your persona: they are constantly on my back.
your persona: i do not drink or do drugs or anything.
your persona: i am 19 and i cannot wait to move out 19 my parents home.
your persona: i work took i have a part time job at burger king.
","['shikib', 'mckenna', 'yulan']","you shouldn't dye it at all ! my parents would blow up if i dyed my hair .
",New Human Generated,1,3,3,3,1,4
"i cant believe the news i just got . my sister is a stripper
sounds like my kids ! ha . . stay at home dad here , have to laugh somewhere .
we grew up christian so its out of character .
i bet i am sorry . it is an interesting job choice .
what do you do for work ?
","your persona: i'm a stay at home dad.
your persona: i spent a decade working in the human services field.
your persona: my father used to work for home depot.
your persona: horror movies are my favorites.
","['shikib', 'mckenna', 'yulan']","i stay home with kids now , prior was in human services .
",Original Ground Truth,1,2,3,3,1,5
"i cant believe the news i just got . my sister is a stripper
sounds like my kids ! ha . . stay at home dad here , have to laugh somewhere .
we grew up christian so its out of character .
i bet i am sorry . it is an interesting job choice .
what do you do for work ?
","your persona: i'm a stay at home dad.
your persona: i spent a decade working in the human services field.
your persona: my father used to work for home depot.
your persona: horror movies are my favorites.
","['shikib', 'mckenna', 'yulan']","i spent a decade working in human services .
",New Human Generated,1,3,3,3,1,5
"i got a big house with 7 rooms
nice , majority of my time i am on facebook
one time i saw a man fly to the moon
like on tv ? i'm obese and unhappy
when i worked in the cia i used facebook to spy on people , handy tool
i'd love to hear more i work at a retirement home
obesity is a state of mind , not of body
thank you for that , you are what you believe ?
look energy isn't physical , only spiritual
","your persona: my wife left me and took my children.
your persona: i don't believe in god.
your persona: i'm overweight and unhappy.
your persona: i work at a nursing home.
your persona: i spend most of my time on facebook when i'm not working.
","['shikib', 'mckenna', 'yulan']","so , i should be able to lose weight ?
",Original Ground Truth,1,3,3,3,1,5
"i got a big house with 7 rooms
nice , majority of my time i am on facebook
one time i saw a man fly to the moon
like on tv ? i'm obese and unhappy
when i worked in the cia i used facebook to spy on people , handy tool
i'd love to hear more i work at a retirement home
obesity is a state of mind , not of body
thank you for that , you are what you believe ?
look energy isn't physical , only spiritual
","your persona: my wife left me and took my children.
your persona: i don't believe in god.
your persona: i'm overweight and unhappy.
your persona: i work at a nursing home.
your persona: i spend most of my time on facebook when i'm not working.
","['shikib', 'mckenna', 'yulan']","sounds like the type of thing my wife would say . she left me and took the kids .
",New Human Generated,1,3,3,3,1,5
"hi , i produce rap music for artists , i mostly like rap music .
hi , i also like rap music . mostly somalian rap .
yeah , my cat likes rap music too , his name is charlie
i got a cat named ziggy when i moved to the united states . he likes reggae music .
looks like my cat and your cat should introduce themselves
","your persona: i was born in somalia.
your persona: now i live in the united states.
your persona: i was forced to marry when i was a.
your persona: my aunt helped me escape when i was of.
","['shikib', 'mckenna', 'yulan']","we should have them meet at a cat park so they can have a rap battle .
",Original Ground Truth,1,3,3,3,0,4
"hi , i produce rap music for artists , i mostly like rap music .
hi , i also like rap music . mostly somalian rap .
yeah , my cat likes rap music too , his name is charlie
i got a cat named ziggy when i moved to the united states . he likes reggae music .
looks like my cat and your cat should introduce themselves
","your persona: i was born in somalia.
your persona: now i live in the united states.
your persona: i was forced to marry when i was a.
your persona: my aunt helped me escape when i was of.
","['shikib', 'mckenna', 'yulan']","good idea ! i've only recently moved to the united states , so i don't know many people . neither does my cat .
",New Human Generated,1,3,3,3,1,5
"so , i 'm reading the latest film from studio ghibli is out the tale of princess kaguya . dunno if you 're familiar with them , but studio ghibli has made a lot of great animated films , like spirited away , and princess mononoke 
 i do n't think i have heard of them . i have heard that one of the directors recently passed away , and his last film was nominated for an academy award 
 yeah , sadly , disney ( which owns the american rights to the films ) does n't tend to promote them very much . i think they 're worried they 'll cut into their "" home grown "" market . anyway , dunno if you even like animated movies , but they 're worth checking out . 
 i do n't watch them very often . apparently there was a showing of the recent film in a park in d.c . that 's one u.s . city i have n't been to 
 sadly , i have n't been to dc either , although i 've always wanted to visit there . apparently there 's a lot of interesting going down this summer . they 're having a crab feast at the navy - marine corps stadium . they 'll have 100 gallons of crab soup ! can you imagine that much soup ? 

","from left , emma baker , daniel saperstein and taylor mulitz of flasher will perform this summer 's final fort reno concert . ( jared soares for the washington post ) monday , july 30 25th birthday celebration at national postal museum : celebrate 25 years of this institution devoted to the long history of the u.s . postal service with daytime festivities that include cupcakes , birthday postcards , a photo booth and a special scavenger hunt with prizes . 11 a.m. to 2 p.m. free . tuesday , july 31 "" the color purple "" at kennedy center : the tony award - winning musical revival , based on the pulitzer prize - winning alice walker novel of the same name , features jazz , ragtime , gospel and blues with a story about an african american woman named celie surviving poverty in the south during the 1930s . through aug . 26 . $ 69-$149 . ask a harry potter scholar at southeast neighborhood library : come to this talk from tolanda henderson , a librarian from george washington university , who has used the j.k . rowling book series as a text in academia . commune with other muggles who prove that it 's not just kids and young adults who obsess about the boy who lived . 7 p.m. free . wednesday , aug . 1 rico nasty at the fillmore silver spring : two summers ago , rico nasty was a teenage loudmouth from the maryland suburbs , generating buzz on youtube for spitting surly , rainbow - tinted rhymes . now , after signing a deal with atlantic records , the 21-year - old singer is on her way to becoming one of the brightest voices in rap music .
","['sm', 'me', 'er']","i recently met a girl who lives in that area , and she said the nightlife is worth visiting for . it sounds like many of the events feature jazz music . do you listen to jazz very often ? 
",Original Ground Truth,1,3,3,3,1,5
"so , i 'm reading the latest film from studio ghibli is out the tale of princess kaguya . dunno if you 're familiar with them , but studio ghibli has made a lot of great animated films , like spirited away , and princess mononoke 
 i do n't think i have heard of them . i have heard that one of the directors recently passed away , and his last film was nominated for an academy award 
 yeah , sadly , disney ( which owns the american rights to the films ) does n't tend to promote them very much . i think they 're worried they 'll cut into their "" home grown "" market . anyway , dunno if you even like animated movies , but they 're worth checking out . 
 i do n't watch them very often . apparently there was a showing of the recent film in a park in d.c . that 's one u.s . city i have n't been to 
 sadly , i have n't been to dc either , although i 've always wanted to visit there . apparently there 's a lot of interesting going down this summer . they 're having a crab feast at the navy - marine corps stadium . they 'll have 100 gallons of crab soup ! can you imagine that much soup ? 

","from left , emma baker , daniel saperstein and taylor mulitz of flasher will perform this summer 's final fort reno concert . ( jared soares for the washington post ) monday , july 30 25th birthday celebration at national postal museum : celebrate 25 years of this institution devoted to the long history of the u.s . postal service with daytime festivities that include cupcakes , birthday postcards , a photo booth and a special scavenger hunt with prizes . 11 a.m. to 2 p.m. free . tuesday , july 31 "" the color purple "" at kennedy center : the tony award - winning musical revival , based on the pulitzer prize - winning alice walker novel of the same name , features jazz , ragtime , gospel and blues with a story about an african american woman named celie surviving poverty in the south during the 1930s . through aug . 26 . $ 69-$149 . ask a harry potter scholar at southeast neighborhood library : come to this talk from tolanda henderson , a librarian from george washington university , who has used the j.k . rowling book series as a text in academia . commune with other muggles who prove that it 's not just kids and young adults who obsess about the boy who lived . 7 p.m. free . wednesday , aug . 1 rico nasty at the fillmore silver spring : two summers ago , rico nasty was a teenage loudmouth from the maryland suburbs , generating buzz on youtube for spitting surly , rainbow - tinted rhymes . now , after signing a deal with atlantic records , the 21-year - old singer is on her way to becoming one of the brightest voices in rap music .
","['sm', 'me', 'er']",wow that 's a lot of soup . are you talking about the fort - reno concert ? i heard flasher will perform there ,New Human Generated,1,3,3,3,1,5
"i think that jon gruden is a sensible loss for the team , 
 what do you mean by sensible loss ? i think john gruden is a huge mistake for the team . 
 well i think his a good player , hard to replace , that s what i meant or at least in the raiders team his become an important piece for the coach 
 john gruden is an nfl head coach . he 's not a player . the 33 - 13 loss to the rams was just the beginning of a miserable season . are you familiar with the nfl ? 
 oh i see , i guess i m confusing him with a player of the team , what was his name i think it was khalil mack , and i do follow some games what about you ? 
 football is one of my favorite sports and i follow all 32 teams . khalil mack was traded to the bears by john gruden for some picks . they definitely felt his absence . i do n't know why they did n't just resign him . 
 maybe he demanded a high salary ? what is your favorite nfl team ? 

","the raiders sacked goff only once , on a play during which bruce irvin forced a fumble . other than that , the oakland defense could put almost no pressure on goff . the absence of mack , the former nfl defensive player of the year , was glaring . in the first half sunday night , mack had a sack , a forced fumble , a fumble recovery , an interception and a touchdown on defense . he and the bears could not sustain that , and they succumbed to the second - half exploits of packers quarterback aaron rodgers . but mack reinforced what a game - changing , difference - making player he is . he left little doubt that he is worth the six - year , $ 141 million contract given to him by the bears , making him the league 's highest - paid defensive player . [ the nfl teams that have serious reasons to worry , versus the ones that do n't ] mack , while still with the raiders , had been holding out , seeking such a deal . the raiders did n't want to give it to him . they have a $ 125 million quarterback in carr . they have a $ 100 million coach in gruden . they drew the line at handing out another mammoth deal , not wanting to further strain their budget or push the boundaries of the salary cap . they regarded the king 's ransom of draft picks put forth by the bears , including a pair of first - rounders , as an offer they could n't refuse . in truth , they could have refused it .
","['sm', 'me', 'fl']","i like the giants best , you ? . he did demand a high salary . he 's the highest paid defensive player in the nfl . i guess the raiders tied up too much money in carr and gruden . 
",Original Ground Truth,1,3,3,3,1,5
"i think that jon gruden is a sensible loss for the team , 
 what do you mean by sensible loss ? i think john gruden is a huge mistake for the team . 
 well i think his a good player , hard to replace , that s what i meant or at least in the raiders team his become an important piece for the coach 
 john gruden is an nfl head coach . he 's not a player . the 33 - 13 loss to the rams was just the beginning of a miserable season . are you familiar with the nfl ? 
 oh i see , i guess i m confusing him with a player of the team , what was his name i think it was khalil mack , and i do follow some games what about you ? 
 football is one of my favorite sports and i follow all 32 teams . khalil mack was traded to the bears by john gruden for some picks . they definitely felt his absence . i do n't know why they did n't just resign him . 
 maybe he demanded a high salary ? what is your favorite nfl team ? 

","the raiders sacked goff only once , on a play during which bruce irvin forced a fumble . other than that , the oakland defense could put almost no pressure on goff . the absence of mack , the former nfl defensive player of the year , was glaring . in the first half sunday night , mack had a sack , a forced fumble , a fumble recovery , an interception and a touchdown on defense . he and the bears could not sustain that , and they succumbed to the second - half exploits of packers quarterback aaron rodgers . but mack reinforced what a game - changing , difference - making player he is . he left little doubt that he is worth the six - year , $ 141 million contract given to him by the bears , making him the league 's highest - paid defensive player . [ the nfl teams that have serious reasons to worry , versus the ones that do n't ] mack , while still with the raiders , had been holding out , seeking such a deal . the raiders did n't want to give it to him . they have a $ 125 million quarterback in carr . they have a $ 100 million coach in gruden . they drew the line at handing out another mammoth deal , not wanting to further strain their budget or push the boundaries of the salary cap . they regarded the king 's ransom of draft picks put forth by the bears , including a pair of first - rounders , as an offer they could n't refuse . in truth , they could have refused it .
","['sm', 'me', 'fl']",it 's hard to pick a specific team . i guess i would have to say the raiders .,New Human Generated,1,3,3,3,0,4
"hello 
 hi . the nfl seems to be at the end of its days . 
 that 's what people seem to be saying everywhere , but i do n't know . they have gotten through scandals and issues before . i 'm not counting them out yet . 
 what about the problems with the ncaa though ? the nfl needs the players . 
 i get that and it is valid , but it 's like any sport . if 1 person quits , there are 5 waiting to take their place . if players do n't want to play , then they should move along . 
 what about the fans though . people might get bored of a game when the quality goes down . 
 that is true . everything runs in cycles though . i liken it to a losing team having an empty stadium and a winning team selling out . fans are fickle . their ... our views are important , but we come and go . 
 i wonder whether letting women into the game would create interest , get more fans . 
 oh , it absolutely would . it would be like ... and i know i am going to butcher the name here , but when manon reheaume played in the nhl . my only concern is that if mishandled it might come off like a gimmick . 
 i see your point . long term , will women stay ? true . 
 i feel like ... there are enough talented women athletes out there , that a woman kicker or qb is possible , perhaps a wide receiver . 
 women can be tough too . would a coach like bill belichick hire a woman if she could help him win the super bowl ? 
 this is going to come off sounding bad , but it is n't meant to . i think anyone in the front office would look at it from the perspective of generating revenue and views . the sponsors would love the coverage . 
 belichick has done well in the post season , so i think he 's looking at it from a strategic point of view . the sponsors would tie her presence into a bunch of social issues and products . 

","the cleveland browns ' last playoff win was in 1995 against the new england patriots and their head coach was bill belichick . this was bill 's first playoff win as head coach and the only playoff win as head coach outside the patriots .
","['sm', 'fl', 'yf']","oh absolutely . belichek is looking at it from the right angle too . he wants to win , that 's what he is paid for . i think the guy would hire a green martian if he thought it would guarantee an extra td . 
",Original Ground Truth,1,3,3,3,1,5
"hello 
 hi . the nfl seems to be at the end of its days . 
 that 's what people seem to be saying everywhere , but i do n't know . they have gotten through scandals and issues before . i 'm not counting them out yet . 
 what about the problems with the ncaa though ? the nfl needs the players . 
 i get that and it is valid , but it 's like any sport . if 1 person quits , there are 5 waiting to take their place . if players do n't want to play , then they should move along . 
 what about the fans though . people might get bored of a game when the quality goes down . 
 that is true . everything runs in cycles though . i liken it to a losing team having an empty stadium and a winning team selling out . fans are fickle . their ... our views are important , but we come and go . 
 i wonder whether letting women into the game would create interest , get more fans . 
 oh , it absolutely would . it would be like ... and i know i am going to butcher the name here , but when manon reheaume played in the nhl . my only concern is that if mishandled it might come off like a gimmick . 
 i see your point . long term , will women stay ? true . 
 i feel like ... there are enough talented women athletes out there , that a woman kicker or qb is possible , perhaps a wide receiver . 
 women can be tough too . would a coach like bill belichick hire a woman if she could help him win the super bowl ? 
 this is going to come off sounding bad , but it is n't meant to . i think anyone in the front office would look at it from the perspective of generating revenue and views . the sponsors would love the coverage . 
 belichick has done well in the post season , so i think he 's looking at it from a strategic point of view . the sponsors would tie her presence into a bunch of social issues and products . 

","the cleveland browns ' last playoff win was in 1995 against the new england patriots and their head coach was bill belichick . this was bill 's first playoff win as head coach and the only playoff win as head coach outside the patriots .
","['sm', 'fl', 'yf']",i think belichick is very strategic and he would n't do something if it would n't help his team win . the last time cleveland won a game in the playoffs was when belichick was their coach . shows how lucky teams are to have him .,New Human Generated,1,3,3,3,1,5
"hi there , how 's it going ? 
 it 's going great ! which do you prefer , football or baseball ? 
 oh i guess baseball . although i do n't have time to see many games anymore . 
 baseball is the american pastime . japanese are surprised to discover this fact . 
 yeah , i guess they see it as being their own . they have their own fan culture around it . what is your favorite sport ? 
 i like both baseball and football , but i usually follow them around playoff time . do n't have much time for games . 
 yeah the seasons are so long that it 's tough to get really immersed . especially baseball . it 's what , 162 games ? 
 162 , plus playoffs . soon they 'll be playing until christmas . until 2005 , a married couple scheduled all the games for the mlb . they must have had special software or something . 
 yeah . although i think they had done it since the 80s . maybe they did the first few seasons on a commodore 64 lol ? 
 the old c64 ! classic . i do n't remember any good sports games on that though . football , baseball , soccer . probably not easy to do on a c64 . 
 yeah . i know they had accounting software lol , my dad used it . we had the minnesota fats pool game and i think one soccer one . but it was such a different era . no madden style graphics 
 i wonder whether they had a version of kickball on the c64 . the canadians call the game soccer - baseball . 
 yeah i 've read that somewhere . when i was a kid , we played a kind of kickball called rounders at camp . our counselor was english . he kept telling us "" run to fourth ! "" and we were like , "" you mean home ? run home ? "" 
 baseball is american ! i do n't know the english would want with it . i bet the english do n't collect "" rounders "" cards the way we collect baseball cards . 
 right ? i wonder if they have cricket cards lol ? i think they have stickers for soccer . 
 some guy found $ 3 million dollars of baseball cards from the 1900s . i wonder what he did with the money . 
 yeah . that 's an amazing find . i heard they had been hidden since the 40s . 
 thanks , grandpa ! i bet grandpa wishes he had cashed them in before he cashed out . 

","_nofact
","['sm', 'me', 'er']","well , but time probably added to the value , no ? i wonder if the grandson found a honus wagner . is n't that the super valuable one ? in the 90s i think wayne gretzky bought one as an investment . 
",Original Ground Truth,1,3,3,3,1,5
